Year,Player,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,BMI,Player_Type,Position_Type,Position,Drafted,Team ,Round,Pick,Year,Skilled,Speed,First_Round_Pick
2009,Brandon Hughes\HughBr99,22,Oregon St.,1.778,82.55381134,4.4,92.71,8,325.12,6.9,4.23,26.11401296,defense,defensive_back,CB,1,San Diego Chargers , 5th ,148,2009,1,Fast,0
2009,Bradley Fletcher\FletBr99,22,Iowa,1.8288,88.90410452,4.44,97.79,20,309.88,7.04,4.29,26.58210602,defense,defensive_back,CB,1,St. Louis Rams , 3rd ,66,2009,1,Fast,0
2009,Vontae Davis\DaviVo99,20,Illinois,1.8034,92.07925111,4.4,91.44,25,317.5,6.75,4.07,28.31246274,defense,defensive_back,CB,1,Miami Dolphins , 1st ,25,2009,1,Fast,1
2009,Sean Smith\SmitSe99,21,Utah,1.905,97.06876718,4.47,86.36,10,302.26,6.92,4.15,26.74789156,defense,defensive_back,CB,1,Miami Dolphins , 2nd ,61,2009,1,Fast,0
2009,Chris Clemons\ClemCh97,23,Clemson,1.8288,94.34721296,4.33,95.25,19,322.58,7.27,4.38,28.2095819,defense,defensive_back,FS,1,Miami Dolphins , 5th ,165,2009,1,Fast,0
2009,Jamarca Sanford\SanfJa99,23,Mississippi,1.778,97.06876718,4.43,85.09,29,294.64,7.02,4.2,30.70548776,defense,defensive_back,SS,1,Minnesota Vikings , 7th ,231,2009,1,Fast,0
2009,Asher Allen\AlleAs99,21,Georgia,1.7526,87.99691978,4.48,88.9,22,292.1,6.93,4.3,28.64849789,defense,defensive_back,CB,1,Minnesota Vikings , 3rd ,86,2009,1,Fast,0
2009,Malcolm Jenkins\JenkMa99,21,Ohio St.,1.8288,92.53284348,4.51,83.82,15,314.96,6.59,4.08,27.66708994,defense,defensive_back,CB,1,New Orleans Saints , 1st ,14,2009,1,Slow,1
2009,Chip Vaughn\VaugCh99,23,Wake Forest,1.8542,100.2439138,4.42,93.98,21,317.5,7.03,4.12,29.15713588,defense,defensive_back,SS,1,New Orleans Saints , 4th ,116,2009,1,Fast,0
2009,DeAndre Wright\WrigDe99,22,New Mexico,1.8034,89.81128926,4.52,87.63,17,309.88,7,4.44,27.61511144,defense,defensive_back,CB,1,New York Giants , 6th ,200,2009,1,Slow,0
2009,Joe Burnett\BurnJo99,22,Central Florida,1.7526,87.08973504,4.58,90.17,22,299.72,6.68,4.25,28.35315255,defense,defensive_back,CB,1,Pittsburgh Steelers , 5th ,168,2009,1,Slow,0
2009,Curtis Taylor\TaylCu99,23,LSU,1.8796,94.80080533,4.49,95.25,13,327.66,7.25,4.23,26.8337367,defense,defensive_back,FS,1,San Francisco 49ers , 7th ,219,2009,1,Fast,0
2009,Courtney Greene\GreeCo99,22,Rutgers,1.8288,96.16158244,4.55,87.63,21,294.64,7.35,4.16,28.75207386,defense,defensive_back,SS,1,Seattle Seahawks , 7th ,245,2009,1,Slow,0
2010,Dominique Franks\FranDo99,22,Oklahoma,1.8034,87.99691978,4.46,85.09,10,297.18,7.32,4.33,27.0572304,defense,defensive_back,CB,1,Atlanta Falcons , 5th ,135,2010,1,Fast,0
2010,Joshua Moore\MoorJo99,21,Kansas St.,1.8034,85.27536556,4.5,92.71,2,309.88,6.74,4.07,26.22040884,defense,defensive_back,CB,1,Chicago Bears , 5th ,141,2010,1,Fast,0
2010,Major Wright\WrigMa99,21,Florida,1.8034,93.44002822,4.44,95.25,14,302.26,6.95,4.36,28.73087352,defense,defensive_back,FS,1,Chicago Bears , 3rd ,75,2010,1,Fast,0
2010,Brandon Ghee\GheeBr99,22,Wake Forest,1.8288,87.08973504,4.37,93.98,15,322.58,6.75,4.07,26.03961406,defense,defensive_back,CB,1,Cincinti Bengals , 3rd ,96,2010,1,Fast,0
2010,Joe Haden\HadeJo99,20,Florida,1.8034,87.54332741,4.52,88.9,18,317.5,6.94,4.34,26.91776014,defense,defensive_back,CB,1,Cleveland Browns , 1st ,7,2010,1,Slow,1
2010,Larry Asante\AsanLa99,21,Nebraska,1.8288,96.16158244,4.62,95.25,14,299.72,7,4.17,28.75207386,defense,defensive_back,SS,1,Cleveland Browns , 5th ,160,2010,1,Slow,0
2010,Kareem Jackson\JackKa99,21,Alabama,1.778,88.90410452,4.4,95.25,13,299.72,6.92,4.14,28.12278319,defense,defensive_back,CB,1,Houston Texans , 1st ,20,2010,1,Fast,1
2010,Kevin Thomas\ThomKe99,23,USC,1.8288,87.08973504,4.41,87.63,19,320.04,6.82,4.18,26.03961406,defense,defensive_back,CB,1,Indiapolis Colts , 3rd ,94,2010,1,Fast,0
2010,Kendrick Lewis\LewiKe00,21,Mississippi,1.8288,89.81128926,4.73,80.01,16,294.64,6.88,4.33,26.853352,defense,defensive_back,FS,1,Kansas City Chiefs , 5th ,136,2010,1,Slow,0
2010,Eric Berry\BerrEr99,21,Tennessee,1.8288,95.70799007,4.4,109.22,19,330.2,6.8,4.23,28.61645087,defense,defensive_back,FS,1,Kansas City Chiefs , 1st ,5,2010,1,Fast,1
2010,Jerome Murphy\MurpJe99,23,South Florida,1.8288,88.90410452,4.5,96.52,16,322.58,6.87,4.05,26.58210602,defense,defensive_back,CB,1,St. Louis Rams , 3rd ,65,2010,1,Fast,0
2010,Reshad Jones\JoneRe99,22,Georgia,1.8542,97.06876718,4.51,100.33,24,299.72,7.43,4.54,28.23360669,defense,defensive_back,SS,1,Miami Dolphins , 5th ,163,2010,1,Slow,0
2010,Chris Cook\CookCh99,23,Virginia,1.8796,96.16158244,4.45,96.52,7,335.28,6.88,4.23,27.21890995,defense,defensive_back,CB,1,Minnesota Vikings , 2nd ,34,2010,1,Fast,0
2010,Devin McCourty\McCoDe99,22,Rutgers,1.8034,87.54332741,4.38,91.44,16,320.04,6.7,4.07,26.91776014,defense,defensive_back,CB,1,New England Patriots , 1st ,27,2010,1,Fast,1
2010,Trevard Lindley\LindTr99,24,Kentucky,1.8034,83.00740371,4.51,97.79,9,294.64,6.81,4.27,25.52305754,defense,defensive_back,CB,1,Philadelphia Eagles , 4th ,105,2010,1,Slow,0
2010,Crezdon Butler\ButlCr99,22,Clemson,1.8288,86.63614267,4.43,100.33,17,307.34,7.08,4.23,25.90399107,defense,defensive_back,CB,1,Pittsburgh Steelers , 5th ,164,2010,1,Fast,0
2010,Kam Chancellor\ChanKa99,21,Virginia Tech,1.905,104.7798375,4.62,81.28,22,294.64,7.36,4.41,28.87272407,defense,defensive_back,FS,1,Seattle Seahawks , 5th ,133,2010,1,Slow,0
2010,Alterraun Verner\Verl99,21,UCLA,1.778,85.72895793,4.52,81.28,11,294.64,6.7,4.12,27.11839807,defense,defensive_back,CB,1,Tennessee Titans , 4th ,104,2010,1,Slow,0
2011,Patrick Peterson\PetePa00,20,LSU,1.8288,99.33672903,4.31,96.52,15,320.04,6.58,4.07,29.70143479,defense,defensive_back,CB,1,Arizo Cardils , 1st ,5,2011,1,Fast,1
2011,Jimmy Smith\SmitJi03,22,Colorado,1.8796,95.70799007,4.42,91.44,24,312.42,6.93,4.06,27.09051887,defense,defensive_back,CB,1,Baltimore Ravens , 1st ,27,2011,1,Fast,1
2011,Aaron Williams\WillAa00,20,Texas,1.8288,92.53284348,4.55,95.25,18,322.58,6.72,4.07,27.66708994,defense,defensive_back,CB,1,Buffalo Bills , 2nd ,34,2011,1,Slow,0
2011,Da'Norris Searcy\SearDa00,22,North Caroli,1.8034,101.1510985,4.55,83.82,27,304.8,6.87,4.09,31.10186794,defense,defensive_back,SS,1,Buffalo Bills , 4th ,100,2011,1,Slow,0
2011,Justin Rogers\RogeJu00,23,Richmond,1.778,81.6466266,4.45,83.82,14,289.56,7.21,4.2,25.82704578,defense,defensive_back,CB,1,Buffalo Bills , 7th ,206,2011,1,Fast,0
2011,Chris Conte\ContCh00,22,California,1.8796,89.35769689,4.52,90.17,18,322.58,7.01,4.19,25.29304368,defense,defensive_back,FS,1,Chicago Bears , 3rd ,93,2011,1,Slow,0
2011,Robert Sands\SandRo00,21,West Virginia,1.9304,98.42954429,4.53,88.9,12,314.96,7.03,4.06,26.41379827,defense,defensive_back,FS,1,Cincinti Bengals , 5th ,134,2011,1,Slow,0
2011,Eric Hagg\HaggEr00,21,Nebraska,1.8542,94.80080533,4.62,87.63,18,307.34,6.73,4.19,27.57394298,defense,defensive_back,FS,1,Cleveland Browns , 7th ,248,2011,1,Slow,0
2011,Buster Skrine\SkriBu00,21,Tenn-Chattanooga,1.7526,84.36818082,4.37,93.98,20,309.88,6.44,3.9,27.46711653,defense,defensive_back,CB,1,Cleveland Browns , 5th ,137,2011,1,Fast,0
2011,Josh Thomas\ThomJo01,21,Buffalo,1.778,86.63614267,4.46,97.79,13,320.04,6.99,4.15,27.40536525,defense,defensive_back,CB,1,Dallas Cowboys , 5th ,143,2011,1,Fast,0
2011,Rahim Moore\MoorRa00,21,UCLA,1.8288,91.62565874,4.58,88.9,11,292.1,6.98,3.96,27.39584396,defense,defensive_back,FS,1,Denver Broncos , 2nd ,45,2011,1,Slow,0
2011,Quinton Carter\CartQu01,22,Oklahoma,1.8542,94.34721296,4.57,87.63,23,307.34,7.05,4.06,27.44201024,defense,defensive_back,FS,1,Denver Broncos , 4th ,108,2011,1,Slow,0
2011,Davon House\HousDa00,21,New Mexico St.,1.8288,90.718474,4.44,85.09,14,276.86,6.65,4.12,27.12459798,defense,defensive_back,CB,1,Green Bay Packers , 4th ,131,2011,1,Fast,0
2011,Shiloh Keo\KeoxSh00,23,Idaho,1.8034,99.33672903,4.74,82.55,24,279.4,6.55,3.9,30.5439869,defense,defensive_back,SS,1,Houston Texans , 5th ,144,2011,1,Slow,0
2011,Brandon Harris\HarrBr00,21,Miami (FL),1.7526,86.63614267,4.46,90.17,13,287.02,6.77,4.12,28.20547988,defense,defensive_back,CB,1,Houston Texans , 2nd ,60,2011,1,Fast,0
2011,Jalil Brown\BrowJa00,23,Colorado,1.8542,92.53284348,4.52,90.17,24,294.64,6.85,4.25,26.91427927,defense,defensive_back,CB,1,Kansas City Chiefs , 4th ,118,2011,1,Slow,0
2011,Marcus Gilchrist\GilcMa00,22,Clemson,1.778,88.45051215,4.45,97.79,26,302.26,6.81,4.12,27.9792996,defense,defensive_back,CB,1,San Diego Chargers , 2nd ,50,2011,1,Fast,0
2011,Brandon Burton\BurtBr00,21,Utah,1.8288,86.1825503,4.5,81.28,18,299.72,6.93,4.07,25.76836808,defense,defensive_back,CB,1,Minnesota Vikings , 5th ,139,2011,1,Fast,0
2011,Tyler Sash\SashTy00,22,Iowa,1.8288,95.70799007,4.62,83.82,11,274.32,6.9,4.27,28.61645087,defense,defensive_back,SS,1,New York Giants , 6th ,198,2011,1,Slow,0
2011,Prince Amukamara\AmukPr00,21,Nebraska,1.8288,93.44002822,4.38,96.52,15,325.12,6.97,4.08,27.93833592,defense,defensive_back,CB,1,New York Giants , 1st ,19,2011,1,Fast,1
2011,Demarcus Van Dyke\VanDDe00,22,Miami (FL),1.8542,79.83225712,4.28,85.09,5,307.34,6.97,4.09,23.22016251,defense,defensive_back,CB,1,Oakland Raiders , 3rd ,81,2011,1,Fast,0
2011,Curtis Marsh\MarsCu01,23,Utah St.,1.8288,89.35769689,4.42,95.25,12,312.42,6.87,4.07,26.71772901,defense,defensive_back,CB,1,Philadelphia Eagles , 3rd ,90,2011,1,Fast,0
2011,Jaiquawn Jarrett\JarrJa00,21,Temple,1.8288,89.81128926,4.62,76.2,14,287.02,6.95,4.14,26.853352,defense,defensive_back,FS,1,Philadelphia Eagles , 2nd ,54,2011,1,Slow,0
2011,Cortez Allen\AlleCo00,22,Citadel,1.8542,89.35769689,4.5,90.17,18,327.66,6.76,4.01,25.99075008,defense,defensive_back,CB,1,Pittsburgh Steelers , 4th ,128,2011,1,Fast,0
2011,Curtis Brown\BrowCu01,22,Texas,1.8288,83.91458845,4.51,100.33,10,325.12,6.59,4,25.09025313,defense,defensive_back,CB,1,Pittsburgh Steelers , 3rd ,95,2011,1,Slow,0
2011,Richard Sherman\SherRi00,22,Stanford,1.905,88.45051215,4.54,96.52,16,317.5,6.82,4.33,24.37307876,defense,defensive_back,CB,1,Seattle Seahawks , 5th ,154,2011,1,Slow,0
2011,Mark LeGree\LegrMa00,21,Appalachian St.,1.8034,95.2543977,4.49,78.74,21,294.64,6.9,4.09,29.28875456,defense,defensive_back,FS,1,Seattle Seahawks , 5th ,156,2011,1,Fast,0
2011,Ahmad Black\BlacAh00,21,Florida,1.7526,83.46099608,4.7,90.17,18,302.26,6.85,4.2,27.17177119,defense,defensive_back,SS,1,Tampa Bay Buccaneers , 5th ,151,2011,1,Slow,0
2011,Brandyn Thompson\ThomBr00,21,Boise St.,1.7526,85.72895793,4.5,85.09,13,289.56,6.66,4.12,27.91013454,defense,defensive_back,CB,1,Washington Redskins , 7th ,213,2011,1,Fast,0
2012,Jamell Fleming\FlemJa00,22,Oklahoma,1.8034,93.44002822,4.43,86.36,23,317.5,6.71,3.97,28.73087352,defense,defensive_back,CB,1,Arizo Cardils , 3rd ,80,2012,1,Fast,0
2012,Justin Bethel\BethJu00,21,Presbyterian,1.8288,90.718474,4.52,100.33,19,332.74,6.79,4.3,27.12459798,defense,defensive_back,FS,1,Arizo Cardils , 6th ,177,2012,1,Slow,0
2012,Charles Mitchell\MitcCh01,22,Mississippi St.,1.8034,91.62565874,4.56,93.98,19,322.58,6.93,4.22,28.17299248,defense,defensive_back,SS,1,Atlanta Falcons , 6th ,192,2012,1,Slow,0
2012,Asa Jackson\JackAs00,22,Cal Poly,1.778,86.63614267,4.48,87.63,19,299.72,6.97,4.03,27.40536525,defense,defensive_back,CB,1,Baltimore Ravens , 5th ,169,2012,1,Fast,0
2012,Christian Thompson\ThomCh01,21,South Caroli St.,1.8288,95.70799007,4.42,80.01,18,309.88,7.33,4.13,28.61645087,defense,defensive_back,FS,1,Baltimore Ravens , 4th ,130,2012,1,Fast,0
2012,Stephon Gilmore\GilmSt00,21,South Caroli,1.8288,86.1825503,4.38,91.44,15,312.42,6.61,3.94,25.76836808,defense,defensive_back,CB,1,Buffalo Bills , 1st ,10,2012,1,Fast,1
2012,Josh Norman\NormJo01,24,Coastal Caroli,1.8288,89.35769689,4.61,83.82,14,314.96,7.09,4.23,26.71772901,defense,defensive_back,CB,1,Caroli Panthers , 5th ,143,2012,1,Slow,0
2012,George Iloka\IlokGe00,21,Boise St.,1.9304,102.0582833,4.6,87.63,20,314.96,7.03,4.03,27.38757885,defense,defensive_back,FS,1,Cincinti Bengals , 5th ,167,2012,1,Slow,0
2012,Trevin Wade\WadeTr00,22,Arizo,1.778,87.08973504,4.52,87.63,18,294.64,6.87,4,27.54884884,defense,defensive_back,CB,1,Cleveland Browns , 7th ,245,2012,1,Slow,0
2012,Bill Bentley\BentBi00,22,Colorado,1.778,82.55381134,4.42,80.01,13,289.56,6.99,4.5,26.11401296,defense,defensive_back,CB,1,Detroit Lions , 3rd ,85,2012,1,Fast,0
2012,Jerron McMillian\McMiJe00,22,Maine,1.8034,92.07925111,4.47,92.71,17,304.8,6.69,4.22,28.31246274,defense,defensive_back,SS,1,Green Bay Packers , 4th ,133,2012,1,Fast,0
2012,Casey Hayward\HaywCa00,22,Vanderbilt,1.8034,87.08973504,4.47,86.36,19,302.26,6.76,3.9,26.77828988,defense,defensive_back,CB,1,Green Bay Packers , 2nd ,62,2012,1,Fast,0
2012,Trumaine Johnson\JohnTr05,22,Monta,1.8796,92.53284348,4.5,90.17,19,309.88,7.2,4.15,26.19178127,defense,defensive_back,CB,1,St. Louis Rams , 3rd ,65,2012,1,Fast,0
2012,Harrison Smith\SmitHa00,23,Notre Dame,1.8796,96.61517481,4.54,86.36,19,309.88,6.63,4.12,27.34730103,defense,defensive_back,SS,1,Minnesota Vikings , 1st ,29,2012,1,Slow,1
2012,Josh Robinson\RobiJo01,21,Central Florida,1.778,90.26488163,4.29,97.79,17,337.82,6.55,3.97,28.55323395,defense,defensive_back,CB,1,Minnesota Vikings , 3rd ,66,2012,1,Fast,0
2012,Robert Blanton\BlanRo00,22,Notre Dame,1.8542,94.34721296,4.66,86.36,12,294.64,6.71,3.97,27.44201024,defense,defensive_back,CB,1,Minnesota Vikings , 5th ,139,2012,1,Slow,0
2012,Corey White\WhitCo01,21,Samford,1.8034,93.44002822,4.53,95.25,15,320.04,6.72,4.22,28.73087352,defense,defensive_back,SS,1,New Orleans Saints , 5th ,162,2012,1,Slow,0
2012,Antonio Allen\AlleAn02,23,South Caroli,1.8542,95.2543977,4.58,86.36,17,299.72,7.02,4.25,27.70587572,defense,defensive_back,SS,1,New York Jets , 7th ,242,2012,1,Slow,0
2012,Terrence Frederick\FredTe00,22,Texas A&M,1.778,84.82177319,4.44,88.9,16,307.34,6.59,4.03,26.8314309,defense,defensive_back,CB,1,Pittsburgh Steelers , 7th ,246,2012,1,Fast,0
2012,Coty Sensabaugh\SensCo00,23,Clemson,1.8034,85.72895793,4.33,93.98,15,309.88,6.6,4.06,26.3598791,defense,defensive_back,CB,1,Tennessee Titans , 4th ,115,2012,1,Fast,0
2013,Tyrann Mathieu\MathTy00,20,LSU,1.7526,84.36818082,4.5,86.36,4,297.18,6.87,4.14,27.46711653,defense,defensive_back,CB,1,Arizo Cardils , 3rd ,69,2013,1,Fast,0
2013,Robert Alford\AlfoRo00,24,SE Louisia,1.778,85.27536556,4.39,101.6,17,335.28,6.89,4.23,26.97491448,defense,defensive_back,CB,1,Atlanta Falcons , 2nd ,60,2013,1,Fast,0
2013,Zeke Motta\MottZe00,22,Notre Dame,1.8796,96.61517481,4.75,90.17,11,320.04,6.75,4.16,27.34730103,defense,defensive_back,SS,1,Atlanta Falcons , 7th ,244,2013,1,Slow,0
2013,Marc Anthony\AnthMa00,23,California,1.8034,88.90410452,4.63,88.9,12,299.72,6.74,4.07,27.33617092,defense,defensive_back,CB,1,Baltimore Ravens , 7th ,247,2013,1,Slow,0
2013,Shawn Williams\WillSh02,21,Georgia,1.8288,96.61517481,4.46,91.44,25,304.8,7.01,4.25,28.88769685,defense,defensive_back,SS,1,Cincinti Bengals , 3rd ,84,2013,1,Fast,0
2013,Leon McFadden\McFaLe00,22,San Diego St.,1.778,87.54332741,4.54,87.63,10,302.26,6.81,4.27,27.69233242,defense,defensive_back,CB,1,Cleveland Browns , 3rd ,68,2013,1,Slow,0
2013,J.J. Wilcox\WilcJ.00,22,Georgia Southern,1.8288,96.61517481,4.57,88.9,17,314.96,7.02,4.09,28.88769685,defense,defensive_back,SS,1,Dallas Cowboys , 3rd ,80,2013,1,Slow,0
2013,B.W. Webb\WebbBW00,22,William & Mary,1.778,83.46099608,4.51,102.87,14,335.28,6.82,3.84,26.40098013,defense,defensive_back,CB,1,Dallas Cowboys , 4th ,114,2013,1,Slow,0
2013,Darius Slay\SlayDa00,22,Mississippi St.,1.8288,87.08973504,4.36,90.17,14,314.96,6.9,4.21,26.03961406,defense,defensive_back,CB,1,Detroit Lions , 2nd ,36,2013,1,Fast,0
2013,Micah Hyde\HydeMi00,22,Iowa,1.8288,89.35769689,4.56,83.82,12,307.34,6.78,4.2,26.71772901,defense,defensive_back,CB,1,Green Bay Packers , 5th ,159,2013,1,Slow,0
2013,D.J. Swearinger\SweaDJ00,21,South Caroli,1.778,94.34721296,4.67,93.98,17,314.96,6.7,4.11,29.84458624,defense,defensive_back,FS,1,Houston Texans , 2nd ,57,2013,1,Slow,0
2013,Dwayne Gratz\GratDw00,22,Connecticut,1.8034,91.17206637,4.47,96.52,22,317.5,6.7,4.15,28.03352222,defense,defensive_back,CB,1,Jacksonville Jaguars , 3rd ,64,2013,1,Fast,0
2013,Demetrius McCray\McCrDe00,21,Appalachian St.,1.8542,84.82177319,4.54,91.44,4,320.04,7.17,4.32,24.67142267,defense,defensive_back,CB,1,Jacksonville Jaguars , 7th ,210,2013,1,Slow,0
2013,Steve Williams\WillSt02,22,California,1.7526,82.10021897,4.42,102.87,12,325.12,6.89,4.1,26.72875319,defense,defensive_back,CB,1,San Diego Chargers , 5th ,145,2013,1,Fast,0
2013,Brandon McGee\McGeBr00,22,Miami (FL),1.8034,87.54332741,4.4,85.09,14,302.26,6.71,4.18,26.91776014,defense,defensive_back,CB,1,St. Louis Rams , 5th ,149,2013,1,Fast,0
2013,T.J. McDold\McDoTJ00,22,USC,1.8796,99.33672903,4.59,101.6,19,332.74,6.89,4.2,28.11764754,defense,defensive_back,FS,1,St. Louis Rams , 3rd ,71,2013,1,Slow,0
2013,Jamar Taylor\TaylJa01,22,Boise St.,1.8034,87.08973504,4.39,88.9,22,322.58,6.82,4.06,26.77828988,defense,defensive_back,CB,1,Miami Dolphins , 2nd ,54,2013,1,Fast,0
2013,Will Davis\DaviWi02,22,Utah St.,1.8034,84.36818082,4.51,90.17,16,322.58,6.52,4.02,25.94146832,defense,defensive_back,CB,1,Miami Dolphins , 3rd ,93,2013,1,Slow,0
2013,Logan Ryan\RyanLo00,22,Rutgers,1.8034,86.63614267,4.56,82.55,14,294.64,6.69,4.06,26.63881962,defense,defensive_back,CB,1,New England Patriots , 3rd ,83,2013,1,Slow,0
2013,Kenny Vaccaro\VaccKe00,22,Texas,1.8288,97.06876718,4.63,96.52,15,307.34,6.78,4.06,29.02331984,defense,defensive_back,FS,1,New Orleans Saints , 1st ,15,2013,1,Slow,1
2013,Jordan Poyer\PoyeJo00,21,Oregon St.,1.8288,86.63614267,4.54,77.47,8,299.72,6.87,4.18,25.90399107,defense,defensive_back,CB,1,Philadelphia Eagles , 7th ,218,2013,1,Slow,0
2013,Eric Reid\ReidEr00,21,LSU,1.8542,96.61517481,4.53,102.87,17,340.36,6.99,4.22,28.10167395,defense,defensive_back,FS,1,San Francisco 49ers , 1st ,18,2013,1,Slow,1
2013,Johnthan Banks\BankJo00,23,Mississippi St.,1.8796,83.91458845,4.61,86.36,10,317.5,6.97,4.27,23.75235066,defense,defensive_back,CB,1,Tampa Bay Buccaneers , 2nd ,43,2013,1,Slow,0
2013,Blidi Wreh-Wilson\WrehBl00,23,Connecticut,1.8542,88.45051215,4.53,91.44,14,325.12,6.97,4.12,25.7268846,defense,defensive_back,CB,1,Tennessee Titans , 3rd ,70,2013,1,Slow,0
2014,Deone Bucannon\BucaDe00,21,Washington St.,1.8542,95.70799007,4.49,92.71,19,317.5,6.96,4.26,27.83780846,defense,defensive_back,SS,1,Arizo Cardils , 1st ,27,2014,1,Fast,1
2014,Ross Cockrell\CockRo00,22,Duke,1.8288,86.63614267,4.56,92.71,10,309.88,7.28,4.32,25.90399107,defense,defensive_back,CB,1,Buffalo Bills , 4th ,109,2014,1,Slow,0
2014,Bene' Benwikere\BenwBe00,22,San Jose St.,1.8034,88.45051215,4.59,102.87,10,309.88,6.94,4.38,27.19670066,defense,defensive_back,CB,1,Caroli Panthers , 5th ,148,2014,1,Slow,0
2014,Tre Boston\BostTr00,21,North Caroli,1.8288,92.53284348,4.58,88.9,18,294.64,7.04,4.31,27.66708994,defense,defensive_back,SS,1,Caroli Panthers , 4th ,128,2014,1,Slow,0
2014,Kyle Fuller\FullKy00,22,Virginia Tech,1.8288,86.1825503,4.49,97.79,12,325.12,6.9,4.19,25.76836808,defense,defensive_back,CB,1,Chicago Bears , 1st ,14,2014,1,Fast,1
